set_type	metabolite_set_name	DA_tests_in_set	p
Super pathway	Nucleotide	48	0.1645
Super pathway	Amino Acid	195	0.4022
Super pathway	Lipid	150	0.3738
Super pathway	Xenobiotics	93	0.2573
Super pathway	Cofactors and Vitamins	22	0.2284
Super pathway	Energy	11	0.6897
Super pathway	Carbohydrate	35	0.2396
Super pathway	Peptide	33	0.5772
Super pathway	Partially Characterized Molecules	14	0.3238
Sub pathway	Polyamine Metabolism	11	0.0992
Sub pathway	Chemical	16	0.5187
Sub pathway	Phosphatidylcholine (PC)	10	0.9801
Sub pathway	Histidine Metabolism	22	0.6891
Sub pathway	Leucine, Isoleucine and Valine Metabolism	27	0.9158
Sub pathway	Tyrosine Metabolism	14	0.4539
Sub pathway	Purine Metabolism, Adenine containing	11	0.4512
Sub pathway	Nicotinate and Nicotinamide Metabolism	10	0.5762
Sub pathway	Methionine, Cysteine, SAM and Taurine Metabolism	21	0.2431
Sub pathway	Food Component/Plant	39	0.9788
Sub pathway	Lysine Metabolism	17	0.3737
Sub pathway	Fatty Acid, Dicarboxylate	17	0.8194
Sub pathway	Benzoate Metabolism	22	0.1899
Sub pathway	TCA Cycle	10	0.9873
Sub pathway	Urea cycle; Arginine and Proline Metabolism	20	0.4258
Sub pathway	Tryptophan Metabolism	16	0.4534
Sub pathway	Glutamate Metabolism	11	0.0572
Sub pathway	Glycine, Serine and Threonine Metabolism	11	0.1302
Sub pathway	Dipeptide	19	0.4202
Sub pathway	Pentose Metabolism	10	0.4311
Sub pathway	Sphingomyelins	11	0.5291
Sub pathway	Partially Characterized Molecules	14	0.3238
Kegg pathway classes	Metabolism of cofactors and vitamins	33	0.8002
Kegg pathway classes	Digestive system	49	0.3229
Kegg pathway classes	Membrane transport	46	0.2002
Kegg pathway classes	Cancer: overview	29	0.8988
Kegg pathway classes	Nervous system	11	0.872
Kegg pathway classes	Signaling molecules and interaction	11	0.7797
Kegg pathway classes	Carbohydrate metabolism	46	0.7984
Kegg pathway classes	Energy metabolism	21	0.9862
Kegg pathway classes	Chemical structure transformation maps	42	0.7313
Kegg pathway classes	Nucleotide metabolism	29	0.3079
Kegg pathway classes	Metabolism of other amino acids	36	0.5365
Kegg pathway classes	Translation	20	0.8438
Kegg pathway classes	Biosynthesis of other secondary metabolites	45	0.7256
Kegg pathway classes	Global and overview maps	44	0.8454
Kegg pathway classes	Amino acid metabolism	100	0.1098
Kegg pathway classes	Endocrine system	17	0.7576
Kegg pathway classes	Lipid metabolism	24	0.5827
Kegg pathway classes	Signal transduction	25	0.5851
Kegg pathways	Glutathione metabolism	12	0.4518
Kegg pathways	Biosynthesis of amino acids	33	0.6693
Kegg pathways	Alanine_aspartate and glutamate metabolism	14	0.5709
Kegg pathways	Phenylalanine metabolism	11	0.7837
Kegg pathways	Biosynthesis of plant hormones	14	0.9082
Kegg pathways	Pyrimidine metabolism	15	0.6702
Kegg pathways	Neuroactive ligand-receptor interaction	11	0.7797
Kegg pathways	Histidine metabolism	16	0.7922
Kegg pathways	Biosynthesis of alkaloids derived from histidine and purine	13	0.3435
Kegg pathways	Arginine and proline metabolism	20	0.0018
Kegg pathways	Protein digestion and absorption	28	0.8681
Kegg pathways	Biosynthesis of alkaloids derived from ornithine_lysine and nicotinic acid	17	0.7859
Kegg pathways	beta-Alanine metabolism	11	0.3244
Kegg pathways	Butanoate metabolism	10	0.5307
Kegg pathways	Glyoxylate and dicarboxylate metabolism	11	0.4344
Kegg pathways	Carbon metabolism	16	0.9142
Kegg pathways	Cysteine and methionine metabolism	14	0.8357
Kegg pathways	ABC transporters	43	0.3211
Kegg pathways	Biosynthesis of plant secondary metabolites	38	0.7811
Kegg pathways	Biosynthesis of various secondary metabolites - part 3	12	0.956
Kegg pathways	Pentose and glucuronate interconversions	11	0.1086
Kegg pathways	Glycine_serine and threonine metabolism	17	0.113
Kegg pathways	Central carbon metabolism in cancer	25	0.9194
Kegg pathways	Mineral absorption	14	0.9687
Kegg pathways	2-Oxocarboxylic acid metabolism	20	0.8237
Kegg pathways	Biosynthesis of alkaloids derived from shikimate pathway	12	0.8176
Kegg pathways	Lysine degradation	10	0.5695
Kegg pathways	Bile secretion	13	0.0228
Kegg pathways	Aminoacyl-tRNA biosynthesis	20	0.8438
Kegg pathways	Purine metabolism	16	0.0447
Kegg pathways	Nicotinate and nicotinamide metabolism	14	0.7345
Kegg pathways	Arginine biosynthesis	11	0.5147
Chemical family	Fatty Acyls	65	0.3711
Chemical family	Phenols	11	0.6804
Chemical family	Organic sulfuric acids and derivatives	23	0.0196
Chemical family	Glycerophospholipids	28	0.7573
Chemical family	Imidazopyrimidines	15	0.5963
Chemical family	Carboxylic acids and derivatives	185	0.9166
Chemical family	Organooxygen compounds	55	0.1494
Chemical family	Purine nucleosides	10	0.2328
Chemical family	Organonitrogen compounds	23	0.0651
Chemical family	Pyridines and derivatives	13	0.8869
Chemical family	Steroids and steroid derivatives	18	0.8885
Chemical family	Hydroxy acids and derivatives	15	0.3045
Chemical family	Sphingolipids	13	0.6703
