set_type	metabolite_set_name	DA_tests_in_set	p
Super pathway	Nucleotide	47	0.0994
Super pathway	Amino Acid	194	0.1416
Super pathway	Lipid	148	0.1646
Super pathway	Xenobiotics	82	0.006
Super pathway	Cofactors and Vitamins	21	0.4852
Super pathway	Energy	11	0.3158
Super pathway	Carbohydrate	35	0.3934
Super pathway	Peptide	33	0.9459
Super pathway	Partially Characterized Molecules	13	0.1378
Sub pathway	Polyamine Metabolism	11	0.2362
Sub pathway	Chemical	15	0.2647
Sub pathway	Phosphatidylcholine (PC)	10	0.1764
Sub pathway	Histidine Metabolism	22	0.7172
Sub pathway	Leucine, Isoleucine and Valine Metabolism	27	0.4075
Sub pathway	Tyrosine Metabolism	14	0.777
Sub pathway	Purine Metabolism, Adenine containing	11	0.4657
Sub pathway	Methionine, Cysteine, SAM and Taurine Metabolism	21	0.9461
Sub pathway	Food Component/Plant	39	0.0311
Sub pathway	Lysine Metabolism	16	0.3934
Sub pathway	Fatty Acid, Dicarboxylate	17	0.1527
Sub pathway	Benzoate Metabolism	18	0.0696
Sub pathway	TCA Cycle	10	0.516
Sub pathway	Urea cycle; Arginine and Proline Metabolism	20	0.4756
Sub pathway	Tryptophan Metabolism	16	0.6517
Sub pathway	Glutamate Metabolism	11	0.1165
Sub pathway	Glycine, Serine and Threonine Metabolism	11	0.082
Sub pathway	Dipeptide	19	0.9388
Sub pathway	Pentose Metabolism	10	0.3607
Sub pathway	Sphingomyelins	11	0.8279
Sub pathway	Partially Characterized Molecules	13	0.1378
Kegg pathway classes	Metabolism of cofactors and vitamins	33	0.2572
Kegg pathway classes	Digestive system	48	0.0126
Kegg pathway classes	Membrane transport	45	0.0015
Kegg pathway classes	Cancer: overview	29	0.0756
Kegg pathway classes	Nervous system	11	0.1707
Kegg pathway classes	Signaling molecules and interaction	11	0.3496
Kegg pathway classes	Carbohydrate metabolism	46	0.7867
Kegg pathway classes	Energy metabolism	20	0.4025
Kegg pathway classes	Chemical structure transformation maps	41	0.1236
Kegg pathway classes	Nucleotide metabolism	28	0.1982
Kegg pathway classes	Metabolism of other amino acids	36	0.0437
Kegg pathway classes	Translation	20	0.0649
Kegg pathway classes	Biosynthesis of other secondary metabolites	44	0.1592
Kegg pathway classes	Global and overview maps	44	0.114
Kegg pathway classes	Amino acid metabolism	99	0.0507
Kegg pathway classes	Endocrine system	16	0.1111
Kegg pathway classes	Lipid metabolism	24	0.5489
Kegg pathway classes	Signal transduction	24	0.0518
Kegg pathways	Glutathione metabolism	12	0.0943
Kegg pathways	Biosynthesis of amino acids	33	0.0292
Kegg pathways	Alanine_aspartate and glutamate metabolism	14	0.1474
Kegg pathways	Phenylalanine metabolism	11	0.9511
Kegg pathways	Biosynthesis of plant hormones	14	0.2982
Kegg pathways	Pyrimidine metabolism	15	0.9444
Kegg pathways	Neuroactive ligand-receptor interaction	11	0.3496
Kegg pathways	Histidine metabolism	16	0.7404
Kegg pathways	Biosynthesis of alkaloids derived from histidine and purine	12	0.1888
Kegg pathways	Arginine and proline metabolism	20	0.0355
Kegg pathways	Protein digestion and absorption	28	0.228
Kegg pathways	Biosynthesis of alkaloids derived from ornithine_lysine and nicotinic acid	17	0.5073
Kegg pathways	beta-Alanine metabolism	11	0.3279
Kegg pathways	Butanoate metabolism	10	0.3143
Kegg pathways	Glyoxylate and dicarboxylate metabolism	11	0.0776
Kegg pathways	Carbon metabolism	16	0.5583
Kegg pathways	Cysteine and methionine metabolism	14	0.1253
Kegg pathways	ABC transporters	42	0.0021
Kegg pathways	Biosynthesis of plant secondary metabolites	37	0.0936
Kegg pathways	Biosynthesis of various secondary metabolites - part 3	12	0.0928
Kegg pathways	Pentose and glucuronate interconversions	11	0.149
Kegg pathways	Glycine_serine and threonine metabolism	17	0.0153
Kegg pathways	Central carbon metabolism in cancer	25	0.0703
Kegg pathways	Mineral absorption	14	0.0762
Kegg pathways	2-Oxocarboxylic acid metabolism	20	0.029
Kegg pathways	Biosynthesis of alkaloids derived from shikimate pathway	12	0.2212
Kegg pathways	Bile secretion	12	0.0238
Kegg pathways	Aminoacyl-tRNA biosynthesis	20	0.0649
Kegg pathways	Purine metabolism	15	0.0377
Kegg pathways	Nicotinate and nicotinamide metabolism	14	0.7241
Kegg pathways	Arginine biosynthesis	11	0.0485
Chemical family	Fatty Acyls	64	0.5873
Chemical family	Organic sulfuric acids and derivatives	20	0.005
Chemical family	Glycerophospholipids	27	0.1067
Chemical family	Imidazopyrimidines	14	0.7441
Chemical family	Carboxylic acids and derivatives	182	0.2594
Chemical family	Organooxygen compounds	53	0.3396
Chemical family	Organonitrogen compounds	23	0.3072
Chemical family	Pyridines and derivatives	13	0.2243
Chemical family	Steroids and steroid derivatives	18	0.4484
Chemical family	Hydroxy acids and derivatives	15	0.6153
Chemical family	Sphingolipids	13	0.1417
