metabolite,Super pathway,Sub pathway,Kegg pathways,Kegg pathway classes,Chemical family
(3'-5')-guanylylcytidine,Nucleotide,Dinucleotide,,,Nucleoside and nucleotide analogues
(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,,,Carboximidic acids and derivatives
(R)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",,,Fatty Acyls
(S)-3-hydroxybutyrylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",,,Fatty Acyls
"1,2,3-benzenetriol sulfate (1)",Xenobiotics,Chemical,,,Phenols
"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,,,Organic sulfuric acids and derivatives
"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),,,Glycerophospholipids
"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,Caffeine metabolism,Biosynthesis of other secondary metabolites,Imidazopyrimidines
"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,Caffeine metabolism,Biosynthesis of other secondary metabolites,Imidazopyrimidines
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,,,Glycerophospholipids
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,,,Glycerophospholipids
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,,,Glycerophospholipids
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,,,Glycerophospholipids
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,,,Glycerophospholipids
1-carboxyethylhistidine,Amino Acid,Histidine Metabolism,,,Carboxylic acids and derivatives
1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Organooxygen compounds
1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",,,Carboxylic acids and derivatives
